GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,COUNT,Shape_Leng,Shape_Area
53023970300,1840669150,19490282,46.4294742,-117.5367145,2266,2.578462614,0.217726324
53071920000,1636341943,74514880,46.3553354,-118.5793363,5224,2.934866886,0.199877537
53071920100,1471819683,12137,46.1427012,-118.3602135,4880,2.734764467,0.17135965
53071920200,70551639,49629,46.087607,-118.4008748,3861,0.874148117,0.008211133
53071920300,5531811,0,46.046617,-118.3804964,8585,0.119110055,0.000643011
53071920400,2316489,0,46.079601,-118.3684493,2317,0.072127639,0.000269424
53071920500,3776144,0,46.0732997,-118.3478367,2839,0.16116031,0.000439143
53071920600,6708310,0,46.053051,-118.3519622,5874,0.128193708,0.000779855
53071920900,82180152,189085,46.0305483,-118.2956931,8508,0.499787633,0.009572434
53071920702,3550705,59,46.0553031,-118.320457,4649,0.124176812,0.000412803
53071920801,3683990,61853,46.0779292,-118.3053858,4915,0.112782183,0.000435655
53071920701,1853531,0,46.0597176,-118.3304478,3735,0.070665499,0.000215502
53071920802,1304518,0,46.0723779,-118.3259399,3394,0.070054773,0.000151706
53001950200,2629508838,2258723,46.9252695,-118.5092655,1738,3.352142309,0.310810178
53001950300,724946603,2616212,46.8328914,-119.1181312,6934,1.618385672,0.085776535
53001950400,3396313,0,46.8323779,-119.1663684,2856,0.0842717,0.000400444
53001950500,12385967,0,46.8105682,-119.1599136,4753,0.178015647,0.001459789
53001950100,1615431075,7748364,47.1508088,-118.3988154,2447,2.594798653,0.192523569
53029971400,29108751,5825758,48.2188172,-122.5144884,4400,0.279550084,0.004228394
53029971500,27630728,12859655,48.2362747,-122.4381741,3394,0.395326387,0.004901491
53029971600,20786523,4484250,48.1693578,-122.5075369,3817,0.307810767,0.00305538
53061041304,10193854,1077369,47.9448887,-122.2664436,2870,0.18644639,0.001356804
53061990002,0,176297876,48.000269,-122.335051,0,1.299879647,0.021242056
